id,ground_truth_action,ground_truth_product,ground_truth_quantity,tier_0_clean,tier_1_lexical,tier_2_conversational,tier_3_cognitive
cmd_0039,update,body wash,7,Update body wash to 7.,update body wash to 7 rn,"Alright, so I also want to update 7 body wash.","Put 6 body wash in there... actually no, update 7 instead."
cmd_0040,update,balsamic vinegar,8,Update balsamic vinegar to 8.,updat balsamic vinegar to 8,"Alright, so I also want to update 8 balsamic vinegar.","Update balsamic vinegar, let's say 11 of them... wait, double check that, just do 8."
cmd_0041,update,salt,3,Update salt to 3.,update salt to 3,"Umm, could you go ahead and update 3 salt?","Put 5 salt in there... actually no, update 3 instead."
cmd_0042,remove,salt,2,Remove 2 salt.,remove 2 salt rn,"Hey, I changed my mind, can you remove 2 salt?","Remove salt, let's say 1 of them... wait, double check that, just do 2."
cmd_0043,update,cheddar cheese,4,Update cheddar cheese to 4.,updat cheddar cheese to 4,"Oh, I almost forgot, please update 4 cheddar cheese.","Update cheddar cheese, let's say 7 of them... wait, double check that, just do 4."
cmd_0044,remove,whole milk,6,Remove 6 whole milk.,remove 6 whole milk,"Oh, I almost forgot, please remove 6 whole milk.","Put 9 whole milk in there... actually no, remove 6 instead."
cmd_0045,remove,laptop sleeve,5,Remove 5 laptop sleeve.,remove 5 laptop sleeve rn,"Alright, so I also want to remove 5 laptop sleeve.","Remove 4 laptop sleeve... wait, actually make it 5."
cmd_0046,remove,salmon fillet,10,Remove 10 salmon fillet.,remove 10 salmon fillet pls,"So, uh, for the salmon fillet, let's remove 10.","I need 12 salmon fillet, hold on, change that to 10."
cmd_0047,add,black pepper,6,Add 6 black pepper.,add 6 black pepper,"Alright, so I also want to add 6 black pepper.","Add 4 black pepper... wait, actually make it 6."
cmd_0048,remove,laptop sleeve,2,Remove 2 laptop sleeve.,remove 2 laptop sleeve pls,"Uhm, let me see... could you please remove 2 laptop sleeve?","Put 5 laptop sleeve in there... actually no, remove 2 instead."
cmd_0049,add,eggs,8,Add 8 eggs.,add 8 eggs,"Hey, I changed my mind, can you add 8 eggs?","Add 11 eggs... wait, actually make it 8."
cmd_0050,add,winter jacket,2,Add 2 winter jacket.,add 2 winter jacket,"Hey, I changed my mind, can you add 2 winter jacket?","Put 4 winter jacket in there... actually no, add 2 instead."
cmd_0051,add,body wash,5,Add 5 body wash.,add 5 bdy wash,"So, uh, for the body wash, let's add 5.","I need 3 body wash, hold on, change that to 5."
cmd_0052,add,green tea,8,Add 8 green tea.,add 8 green tea,"I was thinking, maybe add 8 green tea to the list.","I need 11 green tea, hold on, change that to 8."
cmd_0053,update,garlic,8,Update garlic to 8.,update garlic to 8 pls,"Uhm, let me see... could you please update 8 garlic?","Update garlic, let's say 9 of them... wait, double check that, just do 8."
cmd_0054,add,fish flakes,8,Add 8 fish flakes.,add 8 fish flakes,"So, uh, for the fish flakes, let's add 8.","I need 9 fish flakes, hold on, change that to 8."
cmd_0055,remove,tofu,5,Remove 5 tofu.,remove 5 tofu rn,"Alright, so I also want to remove 5 tofu.","Remove tofu, let's say 7 of them... wait, double check that, just do 5."
cmd_0056,add,apples,5,Add 5 apples.,add 5 apples,"Umm, could you go ahead and add 5 apples?","Add apples, let's say 6 of them... wait, double check that, just do 5."
cmd_0057,update,chicken breast,6,Update chicken breast to 6.,update chicken breast to 6,"Oh, I almost forgot, please update 6 chicken breast.","Put 5 chicken breast in there... actually no, update 6 instead."
cmd_0058,add,bird seed,8,Add 8 bird seed.,add 8 bird seed,"So, uh, for the bird seed, let's add 8.","I need 7 bird seed, hold on, change that to 8."
cmd_0059,add,winter jacket,1,Add 1 winter jacket.,add 1 winter jacket,"Uhm, let me see... could you please add 1 winter jacket?","I need 3 winter jacket, hold on, change that to 1."
cmd_0060,remove,pasta,8,Remove 8 pasta.,remove 8 pasta rn,"Uhm, let me see... could you please remove 8 pasta?","Remove pasta, let's say 10 of them... wait, double check that, just do 8."
cmd_0061,add,ground beef,1,Add 1 ground beef.,add 1 ground bef,"Umm, could you go ahead and add 1 ground beef?","Add ground beef, let's say 3 of them... wait, double check that, just do 1."
cmd_0062,remove,salt,5,Remove 5 salt.,remove 5 salt,"I was thinking, maybe remove 5 salt to the list.","Put 3 salt in there... actually no, remove 5 instead."
cmd_0063,update,headphones,5,Update headphones to 5.,update headphones to 5 pls,"I was thinking, maybe update 5 headphones to the list.","Update headphones, let's say 6 of them... wait, double check that, just do 5."
cmd_0064,add,toothbrush,4,Add 4 toothbrush.,add 4 toothbrush,"Alright, so I also want to add 4 toothbrush.","Put 2 toothbrush in there... actually no, add 4 instead."
cmd_0065,update,cheddar cheese,5,Update cheddar cheese to 5.,update cheddar cheese to 5 pls,"I was thinking, maybe update 5 cheddar cheese to the list.","Update cheddar cheese, let's say 6 of them... wait, double check that, just do 5."
cmd_0066,remove,olive oil,9,Remove 9 olive oil.,remove 9 olive l,"Oh, I almost forgot, please remove 9 olive oil.","Remove 10 olive oil... wait, actually make it 9."
cmd_0067,add,pasta,9,Add 9 pasta.,add 9 pst rn,"So, uh, for the pasta, let's add 9.","I need 11 pasta, hold on, change that to 9."
cmd_0068,remove,toothpaste,2,Remove 2 toothpaste.,remove 2 toothpaste pls,"Alright, so I also want to remove 2 toothpaste.","Remove 5 toothpaste... wait, actually make it 2."
cmd_0069,remove,apples,6,Remove 6 apples.,remove 6 apples,"Uhm, let me see... could you please remove 6 apples?","Remove apples, let's say 9 of them... wait, double check that, just do 6."
cmd_0070,remove,dark chocolate bar,4,Remove 4 dark chocolate bar.,remove 4 dark chocolate bar pls,"So, uh, for the dark chocolate bar, let's remove 4.","Remove dark chocolate bar, let's say 6 of them... wait, double check that, just do 4."
cmd_0071,add,avocado,10,Add 10 avocado.,add 10 avocado pls,"Alright, so I also want to add 10 avocado.","Put 8 avocado in there... actually no, add 10 instead."
cmd_0072,add,black pepper,2,Add 2 black pepper.,add 2 black pepper,"Alright, so I also want to add 2 black pepper.","Put 4 black pepper in there... actually no, add 2 instead."
cmd_0073,remove,chicken breast,3,Remove 3 chicken breast.,remove 3 chicken breast rn,"Oh, I almost forgot, please remove 3 chicken breast.","I need 5 chicken breast, hold on, change that to 3."
cmd_0074,update,socks,1,Update socks to 1.,update socks to 1 rn,"Umm, could you go ahead and update 1 socks?","I need 3 socks, hold on, change that to 1."
cmd_0075,remove,chicken breast,9,Remove 9 chicken breast.,remove 9 chicken breast pls,"Alright, so I also want to remove 9 chicken breast.","Remove chicken breast, let's say 8 of them... wait, double check that, just do 9."
cmd_0076,add,paper towels,8,Add 8 paper towels.,add 8 paper towels,"Alright, so I also want to add 8 paper towels.","Put 6 paper towels in there... actually no, add 8 instead."
cmd_0077,update,salmon fillet,6,Update salmon fillet to 6.,update salmon fillet to 6,"I was thinking, maybe update 6 salmon fillet to the list.","Update 5 salmon fillet... wait, actually make it 6."
cmd_0078,remove,running shoes,6,Remove 6 running shoes.,remove 6 runnng shoes,"Oh, I almost forgot, please remove 6 running shoes.","Remove 8 running shoes... wait, actually make it 6."
cmd_0079,update,Greek yogurt,4,Update Greek yogurt to 4.,update greek yogurt to 4 pls,"I was thinking, maybe update 4 Greek yogurt to the list.","Update Greek yogurt, let's say 2 of them... wait, double check that, just do 4."
cmd_0080,add,body wash,5,Add 5 body wash.,add 5 body wash rn,"Umm, could you go ahead and add 5 body wash?","Put 7 body wash in there... actually no, add 5 instead."
cmd_0081,add,usb-c cable,2,Add 2 usb-c cable.,add 2 usb-c cable rn,"I was thinking, maybe add 2 usb-c cable to the list.","Add usb-c cable, let's say 3 of them... wait, double check that, just do 2."
cmd_0082,remove,toothpaste,1,Remove 1 toothpaste.,remove 1 toothpaste rn,"So, uh, for the toothpaste, let's remove 1.","I need 4 toothpaste, hold on, change that to 1."
cmd_0083,update,sugar,5,Update sugar to 5.,update sugar to 5 pls,"Alright, so I also want to update 5 sugar.","I need 8 sugar, hold on, change that to 5."
cmd_0084,update,jeans,5,Update jeans to 5.,updte jns to 5,"So, uh, for the jeans, let's update 5.","I need 4 jeans, hold on, change that to 5."
cmd_0085,add,shampoo,4,Add 4 shampoo.,add 4 shampoo,"I was thinking, maybe add 4 shampoo to the list.","Add 2 shampoo... wait, actually make it 4."
cmd_0086,remove,salt,1,Remove 1 salt.,remove 1 salt rn,"Hey, I changed my mind, can you remove 1 salt?","I need 4 salt, hold on, change that to 1."
cmd_0087,update,olive oil,5,Update olive oil to 5.,update olive oil to 5,"Uhm, let me see... could you please update 5 olive oil?","Update 7 olive oil... wait, actually make it 5."
cmd_0088,add,fish flakes,4,Add 4 fish flakes.,add 4 fish flakes,"Oh, I almost forgot, please add 4 fish flakes.","Add 6 fish flakes... wait, actually make it 4."
cmd_0089,remove,garlic,2,Remove 2 garlic.,remove 2 garlic,"So, uh, for the garlic, let's remove 2.","Put 4 garlic in there... actually no, remove 2 instead."
cmd_0090,remove,avocado,10,Remove 10 avocado.,remove 10 avocado pls,"Uhm, let me see... could you please remove 10 avocado?","I need 12 avocado, hold on, change that to 10."
cmd_0091,update,green tea,2,Update green tea to 2.,updte green tea to 2,"I was thinking, maybe update 2 green tea to the list.","Update green tea, let's say 5 of them... wait, double check that, just do 2."
cmd_0092,update,bird seed,3,Update bird seed to 3.,update bird seed to 3 pls,"I was thinking, maybe update 3 bird seed to the list.","Put 4 bird seed in there... actually no, update 3 instead."
cmd_0093,remove,salt,4,Remove 4 salt.,remove 4 salt,"So, uh, for the salt, let's remove 4.","Remove salt, let's say 2 of them... wait, double check that, just do 4."
cmd_0094,remove,wireless mouse,2,Remove 2 wireless mouse.,remove 2 wirlss mos pls,"Oh, I almost forgot, please remove 2 wireless mouse.","Put 5 wireless mouse in there... actually no, remove 2 instead."
cmd_0095,update,headphones,4,Update headphones to 4.,update hadphnes to 4 pls,"I was thinking, maybe update 4 headphones to the list.","Put 2 headphones in there... actually no, update 4 instead."
cmd_0096,add,dish soap,4,Add 4 dish soap.,add 4 dish soap pls,"Alright, so I also want to add 4 dish soap.","Add 5 dish soap... wait, actually make it 4."
cmd_0097,remove,olive oil,4,Remove 4 olive oil.,remove 4 olive oil,"Uhm, let me see... could you please remove 4 olive oil?","Remove olive oil, let's say 2 of them... wait, double check that, just do 4."
cmd_0098,remove,sugar,2,Remove 2 sugar.,remove 2 sugr pls,"So, uh, for the sugar, let's remove 2.","I need 5 sugar, hold on, change that to 2."
cmd_0099,remove,tofu,9,Remove 9 tofu.,remove 9 tofu rn,"I was thinking, maybe remove 9 tofu to the list.","Put 12 tofu in there... actually no, remove 9 instead."
cmd_0100,remove,salt,4,Remove 4 salt.,remove 4 salt,"So, uh, for the salt, let's remove 4.","I need 5 salt, hold on, change that to 4."
cmd_0101,add,toothbrush,8,Add 8 toothbrush.,add 8 tothbrsh,"Umm, could you go ahead and add 8 toothbrush?","I need 11 toothbrush, hold on, change that to 8."
cmd_0102,update,orange juice,7,Update orange juice to 7.,update orange juice to 7,"So, uh, for the orange juice, let's update 7.","Put 5 orange juice in there... actually no, update 7 instead."
cmd_0103,add,toothpaste,8,Add 8 toothpaste.,add 8 toothpaste,"Umm, could you go ahead and add 8 toothpaste?","Add toothpaste, let's say 7 of them... wait, double check that, just do 8."
cmd_0104,update,pet treats,10,Update pet treats to 10.,update pet trts to 10,"So, uh, for the pet treats, let's update 10.","Update 11 pet treats... wait, actually make it 10."
cmd_0105,add,cheddar cheese,10,Add 10 cheddar cheese.,add 10 cheddar cheese pls,"Umm, could you go ahead and add 10 cheddar cheese?","Add cheddar cheese, let's say 9 of them... wait, double check that, just do 10."
cmd_0106,remove,black pepper,6,Remove 6 black pepper.,remov 6 black ppper pls,"Alright, so I also want to remove 6 black pepper.","Remove black pepper, let's say 8 of them... wait, double check that, just do 6."
cmd_0107,update,salt,7,Update salt to 7.,update salt to 7 pls,"I was thinking, maybe update 7 salt to the list.","Update salt, let's say 10 of them... wait, double check that, just do 7."
cmd_0108,update,toothpaste,5,Update toothpaste to 5.,updat toothpaste to 5 rn,"Alright, so I also want to update 5 toothpaste.","Put 8 toothpaste in there... actually no, update 5 instead."
cmd_0109,update,chicken breast,6,Update chicken breast to 6.,updte chckn breast to 6 rn,"Uhm, let me see... could you please update 6 chicken breast?","Put 7 chicken breast in there... actually no, update 6 instead."
cmd_0110,update,black pepper,6,Update black pepper to 6.,updte black pepper to 6,"Hey, I changed my mind, can you update 6 black pepper?","Update 4 black pepper... wait, actually make it 6."
cmd_0111,update,olive oil,4,Update olive oil to 4.,update olive oil to 4 pls,"Hey, I changed my mind, can you update 4 olive oil?","Put 5 olive oil in there... actually no, update 4 instead."
cmd_0112,add,tofu,3,Add 3 tofu.,add 3 tfu,"Alright, so I also want to add 3 tofu.","I need 6 tofu, hold on, change that to 3."
cmd_0113,update,paper towels,3,Update paper towels to 3.,update paper towels to 3 rn,"Alright, so I also want to update 3 paper towels.","Update 5 paper towels... wait, actually make it 3."
cmd_0114,add,sponge,5,Add 5 sponge.,add 5 sponge,"Alright, so I also want to add 5 sponge.","Add 8 sponge... wait, actually make it 5."
cmd_0115,remove,ground beef,4,Remove 4 ground beef.,remove 4 ground beef,"Umm, could you go ahead and remove 4 ground beef?","Remove 3 ground beef... wait, actually make it 4."
cmd_0116,add,dog food,8,Add 8 dog food.,add 8 dog food,"Oh, I almost forgot, please add 8 dog food.","Add 9 dog food... wait, actually make it 8."
cmd_0117,update,conditioner,6,Update conditioner to 6.,updat conditioner to 6,"So, uh, for the conditioner, let's update 6.","Put 4 conditioner in there... actually no, update 6 instead."
cmd_0118,remove,winter jacket,7,Remove 7 winter jacket.,rmov 7 winter jckt,"Uhm, let me see... could you please remove 7 winter jacket?","I need 9 winter jacket, hold on, change that to 7."
cmd_0119,add,sponge,5,Add 5 sponge.,add 5 sponge rn,"Hey, I changed my mind, can you add 5 sponge?","Add 4 sponge... wait, actually make it 5."
cmd_0120,remove,bananas,9,Remove 9 bananas.,remove 9 bananas pls,"So, uh, for the bananas, let's remove 9.","Put 12 bananas in there... actually no, remove 9 instead."
cmd_0121,update,trash bags,3,Update trash bags to 3.,updt trash bags to 3 pls,"Alright, so I also want to update 3 trash bags.","I need 6 trash bags, hold on, change that to 3."
cmd_0122,update,salt,4,Update salt to 4.,update salt to 4,"Umm, could you go ahead and update 4 salt?","Update salt, let's say 6 of them... wait, double check that, just do 4."
cmd_0123,remove,pet treats,7,Remove 7 pet treats.,remove 7 pet trts pls,"Alright, so I also want to remove 7 pet treats.","Remove 8 pet treats... wait, actually make it 7."
cmd_0124,update,balsamic vinegar,2,Update balsamic vinegar to 2.,update balsamic vinegar to 2,"Hey, I changed my mind, can you update 2 balsamic vinegar?","I need 4 balsamic vinegar, hold on, change that to 2."
cmd_0125,add,green tea,1,Add 1 green tea.,add 1 green tea pls,"I was thinking, maybe add 1 green tea to the list.","Put 2 green tea in there... actually no, add 1 instead."
cmd_0126,add,gluten-free bread,5,Add 5 gluten-free bread.,add 5 gluten-free bread,"Uhm, let me see... could you please add 5 gluten-free bread?","I need 3 gluten-free bread, hold on, change that to 5."
cmd_0127,add,cheddar cheese,9,Add 9 cheddar cheese.,add 9 cheddar cheese pls,"Uhm, let me see... could you please add 9 cheddar cheese?","Put 7 cheddar cheese in there... actually no, add 9 instead."
cmd_0128,remove,shampoo,10,Remove 10 shampoo.,remove 10 shampoo rn,"Umm, could you go ahead and remove 10 shampoo?","Put 13 shampoo in there... actually no, remove 10 instead."
cmd_0129,update,cheddar cheese,5,Update cheddar cheese to 5.,update cheddar cheese to 5 pls,"So, uh, for the cheddar cheese, let's update 5.","Update 3 cheddar cheese... wait, actually make it 5."
cmd_0130,remove,pasta,1,Remove 1 pasta.,remove 1 pasta pls,"Oh, I almost forgot, please remove 1 pasta.","I need 3 pasta, hold on, change that to 1."
cmd_0131,add,cat litter,2,Add 2 cat litter.,add 2 cat lttr pls,"Oh, I almost forgot, please add 2 cat litter.","Add cat litter, let's say 4 of them... wait, double check that, just do 2."
cmd_0132,update,usb-c cable,3,Update usb-c cable to 3.,updte usb-c cable to 3,"So, uh, for the usb-c cable, let's update 3.","Put 1 usb-c cable in there... actually no, update 3 instead."
cmd_0133,remove,dish soap,1,Remove 1 dish soap.,remove 1 dish soap,"Alright, so I also want to remove 1 dish soap.","Put 2 dish soap in there... actually no, remove 1 instead."
cmd_0134,remove,body wash,8,Remove 8 body wash.,remove 8 body wash,"Hey, I changed my mind, can you remove 8 body wash?","I need 11 body wash, hold on, change that to 8."
cmd_0135,remove,bananas,2,Remove 2 bananas.,remove 2 bananas rn,"Alright, so I also want to remove 2 bananas.","Remove bananas, let's say 3 of them... wait, double check that, just do 2."
cmd_0136,add,cat litter,6,Add 6 cat litter.,add 6 cat litter pls,"I was thinking, maybe add 6 cat litter to the list.","I need 8 cat litter, hold on, change that to 6."
cmd_0137,update,bird seed,3,Update bird seed to 3.,update brd seed to 3,"Alright, so I also want to update 3 bird seed.","Update 6 bird seed... wait, actually make it 3."
cmd_0138,update,cheddar cheese,8,Update cheddar cheese to 8.,update cheddar cheese to 8,"Hey, I changed my mind, can you update 8 cheddar cheese?","Update 6 cheddar cheese... wait, actually make it 8."
cmd_0139,update,usb-c cable,8,Update usb-c cable to 8.,update usb-c cbl to 8,"Hey, I changed my mind, can you update 8 usb-c cable?","Put 6 usb-c cable in there... actually no, update 8 instead."
cmd_0140,add,salt,3,Add 3 salt.,add 3 slt,"So, uh, for the salt, let's add 3.","I need 1 salt, hold on, change that to 3."
cmd_0141,remove,AA batteries,3,Remove 3 AA batteries.,remove 3 aa batteries pls,"Oh, I almost forgot, please remove 3 AA batteries.","Remove 5 AA batteries... wait, actually make it 3."
cmd_0142,remove,chicken breast,10,Remove 10 chicken breast.,remove 10 chicken breast pls,"So, uh, for the chicken breast, let's remove 10.","Remove chicken breast, let's say 12 of them... wait, double check that, just do 10."
cmd_0143,update,green tea,7,Update green tea to 7.,update grn tea to 7,"I was thinking, maybe update 7 green tea to the list.","Put 10 green tea in there... actually no, update 7 instead."
cmd_0144,add,sugar,9,Add 9 sugar.,add 9 sugar,"So, uh, for the sugar, let's add 9.","I need 12 sugar, hold on, change that to 9."
cmd_0145,add,running shoes,4,Add 4 running shoes.,add 4 runnng shoes pls,"Umm, could you go ahead and add 4 running shoes?","Put 3 running shoes in there... actually no, add 4 instead."
cmd_0146,update,frozen pizza,10,Update frozen pizza to 10.,update frozen pzza to 10 pls,"Hey, I changed my mind, can you update 10 frozen pizza?","Update frozen pizza, let's say 13 of them... wait, double check that, just do 10."
cmd_0147,update,shampoo,1,Update shampoo to 1.,update shampoo to 1,"I was thinking, maybe update 1 shampoo to the list.","I need 3 shampoo, hold on, change that to 1."
cmd_0148,remove,Greek yogurt,1,Remove 1 Greek yogurt.,remove 1 greek yogurt,"Alright, so I also want to remove 1 Greek yogurt.","I need 3 Greek yogurt, hold on, change that to 1."
cmd_0149,update,chicken breast,2,Update chicken breast to 2.,update chicken breast to 2 pls,"Alright, so I also want to update 2 chicken breast.","Update chicken breast, let's say 5 of them... wait, double check that, just do 2."
cmd_0150,add,AA batteries,6,Add 6 AA batteries.,add 6 aa btteres pls,"Alright, so I also want to add 6 AA batteries.","Add AA batteries, let's say 9 of them... wait, double check that, just do 6."
cmd_0151,add,headphones,10,Add 10 headphones.,add 10 headphones,"Alright, so I also want to add 10 headphones.","Add 11 headphones... wait, actually make it 10."
cmd_0152,add,sugar,3,Add 3 sugar.,add 3 sugar,"Umm, could you go ahead and add 3 sugar?","Put 6 sugar in there... actually no, add 3 instead."
cmd_0153,remove,chicken breast,5,Remove 5 chicken breast.,rmve 5 chicken brast,"So, uh, for the chicken breast, let's remove 5.","Put 4 chicken breast in there... actually no, remove 5 instead."
cmd_0154,update,olive oil,7,Update olive oil to 7.,update olive oil to 7,"Hey, I changed my mind, can you update 7 olive oil?","I need 9 olive oil, hold on, change that to 7."
cmd_0155,update,laundry detergent,9,Update laundry detergent to 9.,update laundry detergent to 9,"Alright, so I also want to update 9 laundry detergent.","I need 12 laundry detergent, hold on, change that to 9."
cmd_0156,update,body wash,1,Update body wash to 1.,update body wash to 1 pls,"Uhm, let me see... could you please update 1 body wash?","Update body wash, let's say 4 of them... wait, double check that, just do 1."
cmd_0157,add,balsamic vinegar,10,Add 10 balsamic vinegar.,add 10 balsamic vinegar,"Hey, I changed my mind, can you add 10 balsamic vinegar?","Add balsamic vinegar, let's say 8 of them... wait, double check that, just do 10."
cmd_0158,remove,green tea,3,Remove 3 green tea.,remove 3 green tea,"I was thinking, maybe remove 3 green tea to the list.","Put 1 green tea in there... actually no, remove 3 instead."
cmd_0159,update,headphones,9,Update headphones to 9.,update headphones to 9 pls,"Umm, could you go ahead and update 9 headphones?","I need 10 headphones, hold on, change that to 9."
cmd_0160,update,pet treats,5,Update pet treats to 5.,update pet treats to 5 rn,"So, uh, for the pet treats, let's update 5.","Update pet treats, let's say 4 of them... wait, double check that, just do 5."
cmd_0161,remove,pasta,6,Remove 6 pasta.,remove 6 pasta pls,"Umm, could you go ahead and remove 6 pasta?","Remove pasta, let's say 9 of them... wait, double check that, just do 6."
